customer_id,customer_tenure_days,avg_watch_time_per_session,total_watch_minutes,avg_session_duration,avg_completion_percentage,days_since_last_activity,distinct_titles_watched,distinct_devices,login_frequency,monthly_watch_time_trend,engagement_score,customer_lifetime_value,failed_payment_count,total_payments,failed_payment_rate,support_ticket_count,avg_customer_satisfaction,plan_changes,current_plan,current_plan_tier,negative_feedback_count,avg_feedback_rating,age,gender,country,acquisition_channel,customer_segment,preferred_language,churned
CUST000744,2584,53.2,266.0,60.8,70.2,11.0,5.0,3.0,1.25,-5.142857142857144,0.3792545614564064,298.87,2,15,0.13333333333333333,0,3.0,1,PLAN03,3,0,3.0,21,Female,United Kingdom,Organic Search,Individual,English,0
CUST001502,168,61.8,309.0,72.6,72.8,61.0,5.0,2.0,1.25,-20.77142857142857,0.3483906758045195,34.95,0,5,0.0,0,3.0,1,PLAN01,1,0,3.0,31,Male,Canada,Referral,Family,French,0
CUST005383,1109,50.166666666666664,301.0,58.666666666666664,76.5,152.0,6.0,4.0,2.0,-12.999999999999995,0.28669252646418875,90.88,1,15,0.06666666666666667,0,3.0,1,PLAN01,1,0,4.0,40,Male,United Kingdom,Paid Social,Student,English,0
CUST004708,2670,38.72727272727273,426.0,44.81818181818182,64.0,161.0,11.0,3.0,1.5714285714285714,-5.285714285714285,0.30046803749981077,216.86,1,15,0.06666666666666667,0,3.0,1,PLAN02,2,0,3.0,27,Male,United Kingdom,Partner Bundle (Telecom),Individual,Hindi,1
CUST005877,209,57.2,286.0,65.2,60.8,76.0,5.0,2.0,1.6666666666666667,-15.371428571428568,0.33892230923645683,91.97,1,6,0.16666666666666666,0,3.0,1,PLAN03,3,0,3.0,36,Male,Indonesia,Email Campaign,Student,French,0
CUST003762,261,49.0,539.0,52.54545454545455,74.54545454545455,8.0,11.0,4.0,1.8333333333333333,-9.885714285714283,0.4583483140878853,108.43,1,8,0.125,0,3.0,1,PLAN02,2,0,4.0,29,Male,Poland,App Store,Student,English,0
CUST007892,303,50.0,400.0,56.375,72.375,162.0,8.0,3.0,1.6,-6.714285714285713,0.2940307546877674,162.4,0,10,0.0,1,3.0,1,PLAN02,2,2,1.5,31,Female,Japan,Direct,Individual,Hindi,0
CUST002317,2261,39.57142857142857,277.0,47.142857142857146,65.57142857142857,52.0,7.0,4.0,1.4,-7.571428571428568,0.3511734209089502,104.85000000000001,0,15,0.0,0,3.0,1,PLAN01,1,1,3.3333333333333335,38,Female,India,Paid Social,Family,English,0
CUST005609,1274,39.38461538461539,512.0,48.69230769230769,73.23076923076923,17.0,13.0,4.0,2.1666666666666665,23.999999999999993,0.4511929733062783,216.87,0,15,0.0,1,2.0,1,PLAN02,2,0,3.0,38,Female,Canada,App Store,Individual,Korean,0
CUST000519,874,51.166666666666664,921.0,58.166666666666664,62.22222222222222,29.0,17.0,5.0,1.8,9.428571428571427,0.5313196482850228,344.84999999999997,0,15,0.0,2,4.0,2,PLAN03,3,0,3.0,29,Male,Brazil,Paid Social,Family,English,0
