payment_id,customer_id,payment_date,amount,payment_method,payment_status,failed_payment_reason,subscription_id
PAY00000001,CUST000001,2022-04-30,22.99,Debit Card,Success,,SUB0000001
PAY00000002,CUST000001,2022-05-30,22.99,Net Banking,Success,,SUB0000001
PAY00000003,CUST000001,2022-06-29,22.99,Debit Card,Success,,SUB0000001
PAY00000004,CUST000001,2022-07-29,22.99,Debit Card,Success,,SUB0000001
PAY00000005,CUST000001,2022-08-28,22.99,PayPal,Success,,SUB0000001
PAY00000006,CUST000001,2022-09-27,11.49,Credit Card,Success,,SUB0000001
PAY00000007,CUST000001,2022-10-27,22.99,PayPal,Success,,SUB0000001
PAY00000008,CUST000001,2022-11-26,22.99,PayPal,Success,,SUB0000001
PAY00000009,CUST000001,2022-12-26,22.99,Gift Card,Success,,SUB0000001
PAY00000010,CUST000001,2023-01-25,22.99,Debit Card,Success,,SUB0000001
PAY00000011,CUST000001,2023-02-24,22.99,Debit Card,Success,,SUB0000001
PAY00000012,CUST000001,2023-03-26,22.99,Credit Card,Success,,SUB0000001
PAY00000013,CUST000001,2023-04-25,22.99,Credit Card,Success,,SUB0000001
PAY00000014,CUST000001,2023-05-25,22.99,Credit Card,Success,,SUB0000001
PAY00000015,CUST000001,2023-06-24,22.99,Debit Card,Success,,SUB0000001
PAY00000016,CUST000002,2025-12-24,15.49,Debit Card,Success,,SUB0000002
PAY00000017,CUST000002,2026-01-23,15.49,Gift Card,Success,,SUB0000002
PAY00000018,CUST000002,2026-02-22,15.49,Debit Card,Success,,SUB0000002
PAY00000019,CUST000002,2026-03-24,15.49,Debit Card,Success,,SUB0000002
PAY00000020,CUST000002,2026-04-23,15.49,Credit Card,Success,,SUB0000002
PAY00000021,CUST000002,2026-05-23,15.49,Credit Card,Success,,SUB0000002
PAY00000022,CUST000003,2019-12-15,22.99,Gift Card,Success,,SUB0000003
PAY00000023,CUST000003,2020-01-14,22.99,Credit Card,Success,,SUB0000003
PAY00000024,CUST000003,2020-02-13,22.99,UPI,Success,,SUB0000003
PAY00000025,CUST000003,2020-03-14,22.99,Mobile Wallet,Success,,SUB0000003
PAY00000026,CUST000003,2020-04-13,22.99,Debit Card,Success,,SUB0000003
PAY00000027,CUST000003,2020-05-13,22.99,Net Banking,Success,,SUB0000003
PAY00000028,CUST000003,2020-06-12,22.99,UPI,Success,,SUB0000003
PAY00000029,CUST000003,2020-07-12,22.99,PayPal,Success,,SUB0000003
PAY00000030,CUST000003,2020-08-11,22.99,Debit Card,Success,,SUB0000003
PAY00000031,CUST000003,2020-09-10,22.99,Credit Card,Success,,SUB0000003
PAY00000032,CUST000003,2020-10-10,22.99,Credit Card,Success,,SUB0000003
PAY00000033,CUST000003,2020-11-09,22.99,Mobile Wallet,Success,,SUB0000003
PAY00000034,CUST000003,2020-12-09,22.99,Net Banking,Success,,SUB0000003
PAY00000035,CUST000003,2021-01-08,22.99,UPI,Success,,SUB0000003
PAY00000036,CUST000003,2021-02-07,22.99,Net Banking,Success,,SUB0000003
PAY00000037,CUST000004,2019-01-28,6.99,Debit Card,Success,,SUB0000004
PAY00000038,CUST000004,2019-02-27,6.99,Net Banking,Success,,SUB0000004
PAY00000039,CUST000004,2019-03-29,6.99,PayPal,Success,,SUB0000004
PAY00000040,CUST000004,2019-04-28,6.99,Mobile Wallet,Success,,SUB0000004
PAY00000041,CUST000004,2019-05-28,6.99,Credit Card,Success,,SUB0000004
PAY00000042,CUST000004,2019-06-27,6.99,Mobile Wallet,Success,,SUB0000004
PAY00000043,CUST000004,2019-07-27,6.99,Debit Card,Success,,SUB0000004
PAY00000044,CUST000004,2019-08-26,6.99,Debit Card,Failed,Card reported lost/stolen,SUB0000004
PAY00000045,CUST000004,2019-09-25,6.99,Debit Card,Success,,SUB0000004
PAY00000046,CUST000004,2019-10-25,6.99,Mobile Wallet,Success,,SUB0000004
PAY00000047,CUST000004,2019-11-24,6.99,UPI,Success,,SUB0000004
PAY00000048,CUST000004,2019-12-24,6.99,Gift Card,Success,,SUB0000004
PAY00000049,CUST000004,2020-01-23,6.99,Credit Card,Success,,SUB0000004
PAY00000050,CUST000004,2020-02-22,6.99,PayPal,Success,,SUB0000004
PAY00000051,CUST000004,2020-03-23,6.99,Credit Card,Success,,SUB0000004
PAY00000052,CUST000005,2024-07-24,6.99,Credit Card,Success,,SUB0000005
PAY00000053,CUST000005,2024-08-23,6.99,Mobile Wallet,Success,,SUB0000005
PAY00000054,CUST000005,2024-09-22,6.99,UPI,Success,,SUB0000005
PAY00000055,CUST000005,2024-10-22,6.99,Credit Card,Success,,SUB0000005
PAY00000056,CUST000005,2024-11-21,6.99,Debit Card,Success,,SUB0000005
PAY00000057,CUST000005,2024-12-21,6.99,Mobile Wallet,Failed,International transaction blocked,SUB0000005
PAY00000058,CUST000005,2025-01-20,6.99,PayPal,Success,,SUB0000005
PAY00000059,CUST000005,2025-02-19,6.99,PayPal,Success,,SUB0000005
PAY00000060,CUST000005,2025-03-21,6.99,Credit Card,Success,,SUB0000005
PAY00000061,CUST000005,2025-04-20,6.99,Net Banking,Success,,SUB0000005
PAY00000062,CUST000005,2025-05-20,6.99,Gift Card,Success,,SUB0000005
PAY00000063,CUST000005,2025-06-19,6.99,Credit Card,Success,,SUB0000005
PAY00000064,CUST000005,2025-07-19,6.99,UPI,Success,,SUB0000005
PAY00000065,CUST000005,2025-08-18,6.99,Credit Card,Success,,SUB0000005
PAY00000066,CUST000005,2025-09-17,6.99,Credit Card,Success,,SUB0000005
PAY00000067,CUST000006,2025-07-19,22.99,Mobile Wallet,Success,,SUB0000006
PAY00000068,CUST000006,2025-08-18,22.99,UPI,Success,,SUB0000006
PAY00000069,CUST000006,2025-09-17,22.99,Mobile Wallet,Success,,SUB0000006
PAY00000070,CUST000006,2025-10-17,22.99,Credit Card,Success,,SUB0000006
PAY00000071,CUST000006,2025-11-16,22.99,PayPal,Success,,SUB0000006
PAY00000072,CUST000006,2025-12-16,22.99,UPI,Success,,SUB0000006
PAY00000073,CUST000006,2026-01-15,22.99,Gift Card,Success,,SUB0000006
PAY00000074,CUST000006,2026-02-14,22.99,Credit Card,Success,,SUB0000006
PAY00000075,CUST000006,2026-03-16,22.99,Credit Card,Success,,SUB0000006
PAY00000076,CUST000006,2026-04-15,22.99,Credit Card,Success,,SUB0000006
PAY00000077,CUST000006,2026-05-15,22.99,PayPal,Success,,SUB0000006
PAY00000078,CUST000007,2025-10-30,15.49,Credit Card,Success,,SUB0000007
PAY00000079,CUST000007,2025-11-29,15.49,UPI,Success,,SUB0000007
PAY00000080,CUST000007,2025-12-29,15.49,Debit Card,Success,,SUB0000007
